model,dataset,task,task_type,seed,n_trials,metric,device,selected,config,config_id,config_tag,val_score,test_score,fit_time_tuning,predict_time_tuning,fit_time_refit,predict_time_refit,error,val_average_precision,val_accuracy,val_f1,val_roc_auc,test_average_precision,test_accuracy,test_f1,test_roc_auc,val_r2,val_mae,val_rmse,test_r2,test_mae,test_rmse
relgnn,rel-amazon,item-churn,BINARY_CLASSIFICATION,0,10,roc_auc,rtx-pro-6000,False,"{""aggr"": ""sum"", ""channels"": 128, ""lr"": 0.005, ""num_heads"": 8, ""num_model_layers"": 2, ""num_neighbors"": 128, ""simplified_MP"": false, ""subgraph_type"": ""directional""}",afe1474f,default,0.7720068115430443,0.7757135158676898,531.723874443,6.72801263100007,340.3794189729997,7.333211643999675,,0.6648760226290213,0.6946856586507887,0.5676556610164089,0.7720068115430443,0.6281188350975616,0.7132616487455197,0.5836669335468375,0.7757135158676898,,,,,,
relgnn,rel-amazon,item-churn,BINARY_CLASSIFICATION,0,10,roc_auc,rtx-pro-6000,True,"{""aggr"": ""sum"", ""channels"": 128, ""lr"": 0.0011394964521, ""num_heads"": 4, ""num_model_layers"": 2, ""num_neighbors"": 64, ""subgraph_type"": ""bidirectional""}",70b52bd0,r1,0.8019920619235477,0.774158934118254,400.84018314000014,5.822347153999999,486.22124493000047,5.770255466999515,,0.7026888215673222,0.7304053711822341,0.6611924464247825,0.8019920619235477,0.626764965214051,0.7200644921542537,0.6039483056884095,0.774158934118254,,,,,,
relgnn,rel-amazon,item-churn,BINARY_CLASSIFICATION,0,10,roc_auc,rtx-pro-6000,False,"{""aggr"": ""mean"", ""channels"": 128, ""lr"": 0.0018735112039, ""num_heads"": 4, ""num_model_layers"": 1, ""num_neighbors"": 256, ""subgraph_type"": ""bidirectional""}",79b72acf,r2,0.7678824250266647,,408.34695262699984,7.904360367999971,,,,0.6605582989411347,0.7001390069165789,0.6045745328247221,0.7678824250266647,,,,,,,,,,
relgnn,rel-amazon,item-churn,BINARY_CLASSIFICATION,0,10,roc_auc,rtx-pro-6000,False,"{""aggr"": ""mean"", ""channels"": 256, ""lr"": 0.0030037592231, ""num_heads"": 4, ""num_model_layers"": 1, ""num_neighbors"": 64, ""subgraph_type"": ""directional""}",ce9904b8,r3,0.7718124546095311,,339.9369216979999,5.048888224999928,,,,0.6714843205127725,0.709317965659101,0.617946195439113,0.7718124546095311,,,,,,,,,,
relgnn,rel-amazon,item-churn,BINARY_CLASSIFICATION,0,10,roc_auc,rtx-pro-6000,False,"{""aggr"": ""sum"", ""channels"": 64, ""lr"": 0.00648886485, ""num_heads"": 4, ""num_model_layers"": 2, ""num_neighbors"": 128, ""subgraph_type"": ""bidirectional""}",f0bb2bad,r4,0.7696146061758736,,430.1510488810002,6.372368598000321,,,,0.6594118161741209,0.7014165198746124,0.6039991938914888,0.7696146061758736,,,,,,,,,,
relgnn,rel-amazon,item-churn,BINARY_CLASSIFICATION,0,10,roc_auc,rtx-pro-6000,False,"{""aggr"": ""mean"", ""channels"": 256, ""lr"": 0.0030197929882, ""num_heads"": 2, ""num_model_layers"": 4, ""num_neighbors"": 128, ""subgraph_type"": ""directional""}",6f19af8d,r5,0.5653795255450769,,498.5243365590004,7.789253667000139,,,,0.4623870258972497,0.5878079115758432,0.0,0.5653795255450769,,,,,,,,,,
relgnn,rel-amazon,item-churn,BINARY_CLASSIFICATION,0,10,roc_auc,rtx-pro-6000,False,"{""aggr"": ""mean"", ""channels"": 256, ""lr"": 0.0037019789833, ""num_heads"": 16, ""num_model_layers"": 1, ""num_neighbors"": 256, ""subgraph_type"": ""bidirectional""}",012001ed,r6,0.7792860222881445,,561.7475879630001,11.961368908000168,,,,0.6714152429448743,0.6940834829392928,0.5519526549183166,0.7792860222881445,,,,,,,,,,
relgnn,rel-amazon,item-churn,BINARY_CLASSIFICATION,0,10,roc_auc,rtx-pro-6000,False,"{""aggr"": ""mean"", ""channels"": 64, ""lr"": 0.0010442146945, ""num_heads"": 2, ""num_model_layers"": 2, ""num_neighbors"": 256, ""subgraph_type"": ""bidirectional""}",d2fbdf27,r7,0.7932920652456534,,447.52272817500034,7.716589184999975,,,,0.6938758714881752,0.7211645065254462,0.6549673393779858,0.7932920652456534,,,,,,,,,,
relgnn,rel-amazon,item-churn,BINARY_CLASSIFICATION,0,10,roc_auc,rtx-pro-6000,False,"{""aggr"": ""mean"", ""channels"": 256, ""lr"": 0.0041460591823, ""num_heads"": 4, ""num_model_layers"": 2, ""num_neighbors"": 256, ""subgraph_type"": ""directional""}",f87e8891,r8,0.7662026677161874,,443.6080566989999,8.191697004000162,,,,0.6518227246306061,0.6754723139867972,0.5025491498520545,0.7662026677161874,,,,,,,,,,
relgnn,rel-amazon,item-churn,BINARY_CLASSIFICATION,0,10,roc_auc,rtx-pro-6000,False,"{""aggr"": ""mean"", ""channels"": 256, ""lr"": 0.004093508747, ""num_heads"": 8, ""num_model_layers"": 2, ""num_neighbors"": 64, ""subgraph_type"": ""bidirectional""}",79a48048,r9,0.7714193958531816,,504.8653535100002,8.512188366000373,,,,0.6656976050999507,0.6967679484942794,0.5634939280766706,0.7714193958531816,,,,,,,,,,
