source,model,dataset,task,task_type,metric,test_score
relbenchv1_paper,graphsage_MR,rel-amazon,item-churn,BINARY_CLASSIFICATION,roc_auc,0.8281
relbenchv1_paper,graphsage_MR,rel-amazon,item-ltv,REGRESSION,mae,50.053
relbenchv1_paper,graphsage_MR,rel-amazon,user-churn,BINARY_CLASSIFICATION,roc_auc,0.7042
relbenchv1_paper,graphsage_MR,rel-amazon,user-ltv,REGRESSION,mae,14.313
relbenchv1_paper,graphsage_MR,rel-avito,ad-ctr,REGRESSION,mae,0.041
relbenchv1_paper,graphsage_MR,rel-avito,user-clicks,BINARY_CLASSIFICATION,roc_auc,0.659
relbenchv1_paper,graphsage_MR,rel-avito,user-visits,BINARY_CLASSIFICATION,roc_auc,0.662
relbenchv1_paper,graphsage_MR,rel-event,user-attendance,REGRESSION,mae,0.258
relbenchv1_paper,graphsage_MR,rel-event,user-ignore,BINARY_CLASSIFICATION,roc_auc,0.8162
relbenchv1_paper,graphsage_MR,rel-event,user-repeat,BINARY_CLASSIFICATION,roc_auc,0.7689
relbenchv1_paper,graphsage_MR,rel-f1,driver-dnf,BINARY_CLASSIFICATION,roc_auc,0.7262
relbenchv1_paper,graphsage_MR,rel-f1,driver-position,REGRESSION,mae,4.022
relbenchv1_paper,graphsage_MR,rel-f1,driver-top3,BINARY_CLASSIFICATION,roc_auc,0.7554
relbenchv1_paper,graphsage_MR,rel-hm,item-sales,REGRESSION,mae,0.056
relbenchv1_paper,graphsage_MR,rel-hm,user-churn,BINARY_CLASSIFICATION,roc_auc,0.6988
relbenchv1_paper,graphsage_MR,rel-stack,post-votes,REGRESSION,mae,0.065
relbenchv1_paper,graphsage_MR,rel-stack,user-badge,BINARY_CLASSIFICATION,roc_auc,0.8886
relbenchv1_paper,graphsage_MR,rel-stack,user-engagement,BINARY_CLASSIFICATION,roc_auc,0.9059
relbenchv1_paper,graphsage_MR,rel-trial,site-success,REGRESSION,mae,0.4
relbenchv1_paper,graphsage_MR,rel-trial,study-adverse,REGRESSION,mae,44.473
relbenchv1_paper,graphsage_MR,rel-trial,study-outcome,BINARY_CLASSIFICATION,roc_auc,0.686
kumorfm_v1_whitepaper,kumo_rfm_v1_MR,rel-amazon,item-churn,BINARY_CLASSIFICATION,roc_auc,0.7993
kumorfm_v1_whitepaper,kumo_rfm_v1_MR,rel-amazon,item-ltv,REGRESSION,mae,55.254
kumorfm_v1_whitepaper,kumo_rfm_v1_MR,rel-amazon,user-churn,BINARY_CLASSIFICATION,roc_auc,0.6729
kumorfm_v1_whitepaper,kumo_rfm_v1_MR,rel-amazon,user-ltv,REGRESSION,mae,16.161
kumorfm_v1_whitepaper,kumo_rfm_v1_MR,rel-avito,ad-ctr,REGRESSION,mae,0.035
kumorfmv2_report,kumo_rfm_v1_MR,rel-avito,user-clicks,BINARY_CLASSIFICATION,roc_auc,0.6485
kumorfmv2_report,kumo_rfm_v1_MR,rel-avito,user-visits,BINARY_CLASSIFICATION,roc_auc,0.6411
kumorfm_v1_whitepaper,kumo_rfm_v1_MR,rel-event,user-attendance,REGRESSION,mae,0.264
kumorfm_v1_whitepaper,kumo_rfm_v1_MR,rel-event,user-ignore,BINARY_CLASSIFICATION,roc_auc,0.892
kumorfm_v1_whitepaper,kumo_rfm_v1_MR,rel-event,user-repeat,BINARY_CLASSIFICATION,roc_auc,0.7608
kumorfm_v1_whitepaper,kumo_rfm_v1_MR,rel-f1,driver-dnf,BINARY_CLASSIFICATION,roc_auc,0.8241
kumorfm_v1_whitepaper,kumo_rfm_v1_MR,rel-f1,driver-position,REGRESSION,mae,2.747
kumorfm_v1_whitepaper,kumo_rfm_v1_MR,rel-f1,driver-top3,BINARY_CLASSIFICATION,roc_auc,0.9107
kumorfm_v1_whitepaper,kumo_rfm_v1_MR,rel-hm,item-sales,REGRESSION,mae,0.04
kumorfm_v1_whitepaper,kumo_rfm_v1_MR,rel-hm,user-churn,BINARY_CLASSIFICATION,roc_auc,0.6771
kumorfm_v1_whitepaper,kumo_rfm_v1_MR,rel-stack,post-votes,REGRESSION,mae,0.065
kumorfm_v1_whitepaper,kumo_rfm_v1_MR,rel-stack,user-badge,BINARY_CLASSIFICATION,roc_auc,0.8
kumorfm_v1_whitepaper,kumo_rfm_v1_MR,rel-stack,user-engagement,BINARY_CLASSIFICATION,roc_auc,0.8709
kumorfm_v1_whitepaper,kumo_rfm_v1_MR,rel-trial,site-success,REGRESSION,mae,0.417
kumorfm_v1_whitepaper,kumo_rfm_v1_MR,rel-trial,study-adverse,REGRESSION,mae,58.231
kumorfm_v1_whitepaper,kumo_rfm_v1_MR,rel-trial,study-outcome,BINARY_CLASSIFICATION,roc_auc,0.7079
tabpfn3_report,kumo_rfm_v2_MR,rel-amazon,item-churn,BINARY_CLASSIFICATION,roc_auc,0.8018
tabpfn3_report,kumo_rfm_v2_MR,rel-amazon,item-ltv,REGRESSION,mae,45.352
tabpfn3_report,kumo_rfm_v2_MR,rel-amazon,user-churn,BINARY_CLASSIFICATION,roc_auc,0.6771
tabpfn3_report,kumo_rfm_v2_MR,rel-amazon,user-ltv,REGRESSION,mae,14.627
tabpfn3_report,kumo_rfm_v2_MR,rel-avito,ad-ctr,REGRESSION,mae,0.033
tabpfn3_report,kumo_rfm_v2_MR,rel-avito,user-clicks,BINARY_CLASSIFICATION,roc_auc,0.6742
tabpfn3_report,kumo_rfm_v2_MR,rel-avito,user-visits,BINARY_CLASSIFICATION,roc_auc,0.6941
tabpfn3_report,kumo_rfm_v2_MR,rel-event,user-attendance,REGRESSION,mae,0.241
tabpfn3_report,kumo_rfm_v2_MR,rel-event,user-ignore,BINARY_CLASSIFICATION,roc_auc,0.7886
tabpfn3_report,kumo_rfm_v2_MR,rel-event,user-repeat,BINARY_CLASSIFICATION,roc_auc,0.7934
tabpfn3_report,kumo_rfm_v2_MR,rel-f1,driver-dnf,BINARY_CLASSIFICATION,roc_auc,0.7203
tabpfn3_report,kumo_rfm_v2_MR,rel-f1,driver-position,REGRESSION,mae,4.022
tabpfn3_report,kumo_rfm_v2_MR,rel-f1,driver-top3,BINARY_CLASSIFICATION,roc_auc,0.8209
tabpfn3_report,kumo_rfm_v2_MR,rel-hm,item-sales,REGRESSION,mae,0.043
tabpfn3_report,kumo_rfm_v2_MR,rel-hm,user-churn,BINARY_CLASSIFICATION,roc_auc,0.6781
tabpfn3_report,kumo_rfm_v2_MR,rel-stack,post-votes,REGRESSION,mae,0.065
tabpfn3_report,kumo_rfm_v2_MR,rel-stack,user-badge,BINARY_CLASSIFICATION,roc_auc,0.854
tabpfn3_report,kumo_rfm_v2_MR,rel-stack,user-engagement,BINARY_CLASSIFICATION,roc_auc,0.8869
tabpfn3_report,kumo_rfm_v2_MR,rel-trial,site-success,REGRESSION,mae,0.433
tabpfn3_report,kumo_rfm_v2_MR,rel-trial,study-adverse,REGRESSION,mae,41.974
tabpfn3_report,kumo_rfm_v2_MR,rel-trial,study-outcome,BINARY_CLASSIFICATION,roc_auc,0.7203
kumorfmv2_report,lightgbm_MR,rel-amazon,item-churn,BINARY_CLASSIFICATION,roc_auc,0.6254
kumorfmv2_report,lightgbm_MR,rel-amazon,item-ltv,REGRESSION,mae,60.569
kumorfmv2_report,lightgbm_MR,rel-amazon,user-churn,BINARY_CLASSIFICATION,roc_auc,0.5222
kumorfmv2_report,lightgbm_MR,rel-amazon,user-ltv,REGRESSION,mae,16.783
kumorfmv2_report,lightgbm_MR,rel-avito,ad-ctr,REGRESSION,mae,0.041
kumorfmv2_report,lightgbm_MR,rel-avito,user-clicks,BINARY_CLASSIFICATION,roc_auc,0.536
kumorfmv2_report,lightgbm_MR,rel-avito,user-visits,BINARY_CLASSIFICATION,roc_auc,0.5305
kumorfmv2_report,lightgbm_MR,rel-event,user-attendance,REGRESSION,mae,0.264
kumorfmv2_report,lightgbm_MR,rel-event,user-ignore,BINARY_CLASSIFICATION,roc_auc,0.7993
kumorfmv2_report,lightgbm_MR,rel-event,user-repeat,BINARY_CLASSIFICATION,roc_auc,0.6804
kumorfmv2_report,lightgbm_MR,rel-f1,driver-dnf,BINARY_CLASSIFICATION,roc_auc,0.6856
kumorfmv2_report,lightgbm_MR,rel-f1,driver-position,REGRESSION,mae,4.17
kumorfmv2_report,lightgbm_MR,rel-f1,driver-top3,BINARY_CLASSIFICATION,roc_auc,0.7392
kumorfmv2_report,lightgbm_MR,rel-hm,item-sales,REGRESSION,mae,0.076
kumorfmv2_report,lightgbm_MR,rel-hm,user-churn,BINARY_CLASSIFICATION,roc_auc,0.5521
kumorfmv2_report,lightgbm_MR,rel-stack,post-votes,REGRESSION,mae,0.068
kumorfmv2_report,lightgbm_MR,rel-stack,user-badge,BINARY_CLASSIFICATION,roc_auc,0.6343
kumorfmv2_report,lightgbm_MR,rel-stack,user-engagement,BINARY_CLASSIFICATION,roc_auc,0.6339
kumorfmv2_report,lightgbm_MR,rel-trial,site-success,REGRESSION,mae,0.425
kumorfmv2_report,lightgbm_MR,rel-trial,study-adverse,REGRESSION,mae,44.011
kumorfmv2_report,lightgbm_MR,rel-trial,study-outcome,BINARY_CLASSIFICATION,roc_auc,0.7009
tabpfn3_report,rdblearn_MR,rel-amazon,item-churn,BINARY_CLASSIFICATION,roc_auc,0.8207
tabpfn3_report,rdblearn_MR,rel-amazon,item-ltv,REGRESSION,mae,48.559
tabpfn3_report,rdblearn_MR,rel-amazon,user-churn,BINARY_CLASSIFICATION,roc_auc,0.6757
tabpfn3_report,rdblearn_MR,rel-amazon,user-ltv,REGRESSION,mae,14.54
tabpfn3_report,rdblearn_MR,rel-avito,ad-ctr,REGRESSION,mae,0.034
tabpfn3_report,rdblearn_MR,rel-avito,user-clicks,BINARY_CLASSIFICATION,roc_auc,0.6904
tabpfn3_report,rdblearn_MR,rel-avito,user-visits,BINARY_CLASSIFICATION,roc_auc,0.6549
tabpfn3_report,rdblearn_MR,rel-event,user-attendance,REGRESSION,mae,0.237
tabpfn3_report,rdblearn_MR,rel-event,user-ignore,BINARY_CLASSIFICATION,roc_auc,0.8252
tabpfn3_report,rdblearn_MR,rel-event,user-repeat,BINARY_CLASSIFICATION,roc_auc,0.7504
tabpfn3_report,rdblearn_MR,rel-f1,driver-dnf,BINARY_CLASSIFICATION,roc_auc,0.7087
tabpfn3_report,rdblearn_MR,rel-f1,driver-position,REGRESSION,mae,3.834
tabpfn3_report,rdblearn_MR,rel-f1,driver-top3,BINARY_CLASSIFICATION,roc_auc,0.7969
tabpfn3_report,rdblearn_MR,rel-hm,item-sales,REGRESSION,mae,0.064
tabpfn3_report,rdblearn_MR,rel-hm,user-churn,BINARY_CLASSIFICATION,roc_auc,0.6805
tabpfn3_report,rdblearn_MR,rel-stack,post-votes,REGRESSION,mae,0.068
tabpfn3_report,rdblearn_MR,rel-stack,user-badge,BINARY_CLASSIFICATION,roc_auc,0.8526
tabpfn3_report,rdblearn_MR,rel-stack,user-engagement,BINARY_CLASSIFICATION,roc_auc,0.8939
tabpfn3_report,rdblearn_MR,rel-trial,site-success,REGRESSION,mae,0.424
tabpfn3_report,rdblearn_MR,rel-trial,study-adverse,REGRESSION,mae,43.913
tabpfn3_report,rdblearn_MR,rel-trial,study-outcome,BINARY_CLASSIFICATION,roc_auc,0.7158
relgnn_paper,relgnn_MR,rel-amazon,item-churn,BINARY_CLASSIFICATION,roc_auc,0.8264
relgnn_paper,relgnn_MR,rel-amazon,item-ltv,REGRESSION,mae,48.767
relgnn_paper,relgnn_MR,rel-amazon,user-churn,BINARY_CLASSIFICATION,roc_auc,0.7099
relgnn_paper,relgnn_MR,rel-amazon,user-ltv,REGRESSION,mae,14.23
relgnn_paper,relgnn_MR,rel-avito,ad-ctr,REGRESSION,mae,0.037
relgnn_paper,relgnn_MR,rel-avito,user-clicks,BINARY_CLASSIFICATION,roc_auc,0.6823
relgnn_paper,relgnn_MR,rel-avito,user-visits,BINARY_CLASSIFICATION,roc_auc,0.6618
relgnn_paper,relgnn_MR,rel-event,user-attendance,REGRESSION,mae,0.238
relgnn_paper,relgnn_MR,rel-event,user-ignore,BINARY_CLASSIFICATION,roc_auc,0.8618
relgnn_paper,relgnn_MR,rel-event,user-repeat,BINARY_CLASSIFICATION,roc_auc,0.7961
relgnn_paper,relgnn_MR,rel-f1,driver-dnf,BINARY_CLASSIFICATION,roc_auc,0.7529
relgnn_paper,relgnn_MR,rel-f1,driver-position,REGRESSION,mae,3.798
relgnn_paper,relgnn_MR,rel-f1,driver-top3,BINARY_CLASSIFICATION,roc_auc,0.8569
relgnn_paper,relgnn_MR,rel-hm,item-sales,REGRESSION,mae,0.054
relgnn_paper,relgnn_MR,rel-hm,user-churn,BINARY_CLASSIFICATION,roc_auc,0.7093
relgnn_paper,relgnn_MR,rel-stack,post-votes,REGRESSION,mae,0.065
relgnn_paper,relgnn_MR,rel-stack,user-badge,BINARY_CLASSIFICATION,roc_auc,0.8898
relgnn_paper,relgnn_MR,rel-stack,user-engagement,BINARY_CLASSIFICATION,roc_auc,0.9075
relgnn_paper,relgnn_MR,rel-trial,site-success,REGRESSION,mae,0.301
